OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
3833300,2010,NULL,NULL,NULL,NULL,NULL
162800,2010,19436,21122,24377,27983,29236
NULL,2010,15720,13344,20352,17892,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2106900,2010,24039,25702,32502,30952,NULL
746500,2010,22735,28057,28732,30675,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3491400,2010,19410,22140,NULL,NULL,NULL
1046000,2010,13080,12794,NULL,NULL,NULL
112000,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,14326,15821,16692,NULL,NULL
1307400,2010,10728,9168,11676,NULL,NULL
3903400,2010,9711,10602,11394,NULL,NULL
3030802,2010,19850,22060,23040,23260,23260
3030800,2010,19410,21600,NULL,23880,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,14084,14560,19936,NULL,NULL
2241801,2010,41888,42616,45304,47936,47838
NULL,2010,NULL,NULL,NULL,NULL,NULL
2241800,2010,18585,18837,21024,22455,22626
3359300,2010,33584,35552,38624,39104,41104
3971300,2010,19566,19863,21402,22932,22923
NULL,2010,NULL,NULL,NULL,NULL,NULL
3153300,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2309100,2010,19584,20928,21276,NULL,NULL
765800,2010,25396,NULL,NULL,NULL,NULL
3144400,2010,18291,18550,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3078200,2010,NULL,NULL,NULL,NULL,NULL
2099200,2010,NULL,NULL,NULL,NULL,NULL
2303800,2010,6088,5996,7656,NULL,NULL
2222000,2010,NULL,NULL,NULL,NULL,NULL
2289000,2010,23436,25214,25788,28784,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2199900,2010,13131,13461,16727,NULL,NULL
2514100,2010,11088,NULL,NULL,NULL,NULL
3534400,2010,33980,34340,34674,NULL,NULL
4016500,2010,19704,19716,22632,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3962300,2010,9432,10440,NULL,NULL,NULL
4136400,2010,33432,35880,38424,39504,40128
4060300,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2317800,2010,8220,8472,8688,8760,8748
2106601,2010,19404,20240,22869,22913,24343
3706300,2010,25932,29064,30072,31104,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2106600,2010,19052,24464,24684,24684,24684
2113600,2010,15957,15561,20195,11848,21771
2113610,2010,16864,18653,21768,22668,22668
021136A1  ,2010,18386,19094,21028,22421,21724
211400,2010,16408,17740,19419,20324,21903
274100,2010,32436,32869,36869,38569,38569
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
757200,2010,26445,30413,32559,34668,34939
372600,2010,14941,15436,17742,18849,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
-2,2010,14435,17352,NULL,NULL,NULL
372601,2010,11244,13277,NULL,NULL,NULL
-2,2010,14386,15362,5813,NULL,NULL
1048900,2010,14667,16324,17063,17836,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
-2,2010,14902,13153,NULL,NULL,NULL
3819300,2010,9573,10408,12489,13250,12888
123200,2010,5450,10717,NULL,NULL,NULL
1001000,2010,-844,200,920,NULL,NULL
2601000,2010,11120,13080,14000,14000,14000
2311200,2010,20130,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
143400,2010,21321,21562,27606,32433,36121
3225300,2010,29988,32508,NULL,NULL,NULL
1194101,2010,7946,9686,10081,NULL,NULL
1194100,2010,8089,9158,9904,12195,NULL
2270802,2010,20838,25162,29713,30601,30601
2270800,2010,20579,21788,23985,24622,26819
NULL,2010,NULL,NULL,NULL,NULL,NULL
211500,2010,1173,1883,6503,14674,35589
2503400,2010,16369,NULL,16900,NULL,NULL
182300,2010,NULL,NULL,NULL,NULL,NULL
178400,2010,11585,11538,14996,19136,18755
178500,2010,17794,18956,20706,22237,23078
341800,2010,13912,13710,16724,18177,18839
211600,2010,NULL,NULL,NULL,NULL,NULL
154500,2010,12781,14090,14463,17959,17403
223800,2010,13935,16179,16768,20192,22781
NULL,2010,23640,25968,27228,28812,28812
NULL,2010,25010,NULL,26920,NULL,NULL
666100,2010,5219,5416,5896,6885,NULL
354100,2010,8449,10051,13185,14989,15491
211700,2010,17708,17740,21129,24648,27137
205800,2010,11078,12169,14678,15890,16004
NULL,2010,NULL,NULL,NULL,NULL,NULL
735000,2010,12748,12833,14439,17316,17451
233200,2010,9932,10589,13321,14549,14624
111300,2010,6566,NULL,NULL,NULL,NULL
2234900,2010,11130,12705,13515,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
301002,2010,NULL,NULL,NULL,NULL,NULL
301000,2010,NULL,NULL,NULL,NULL,NULL
301004,2010,NULL,NULL,NULL,NULL,NULL
301003,2010,NULL,NULL,NULL,NULL,NULL
301005,2010,32114,23839,28489,33814,34814
003010A1  ,2010,NULL,NULL,NULL,NULL,NULL
1289100,2010,17679,18780,20817,NULL,21959
1289102,2010,18878,19369,19965,NULL,22355
1289101,2010,20133,21832,NULL,NULL,NULL
743000,2010,30045,32874,35315,38688,38688
3067000,2010,18378,19926,19764,21096,21096
3156400,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
961200,2010,5184,NULL,NULL,NULL,NULL
3513400,2010,7342,NULL,NULL,NULL,NULL
751800,2010,17820,18630,19560,19660,20980
2562300,2010,8530,11030,NULL,NULL,NULL
2159100,2010,5320,NULL,NULL,NULL,NULL
754400,2010,11575,11927,12373,18562,NULL
-2,2010,NULL,NULL,NULL,NULL,NULL
3559300,2010,NULL,NULL,NULL,NULL,NULL
290600,2010,5528,5986,9778,13683,14276
3068600,2010,25656,NULL,NULL,NULL,NULL
223900,2010,10250,11157,11128,7979,NULL
347700,2010,16218,21150,12861,21026,20672
163200,2010,NULL,NULL,NULL,NULL,NULL
134600,2010,7664,8428,11550,12694,12958
323500,2010,19604,21155,23487,23645,19098
2179902,2010,29140,29559,30768,32387,29327
2179900,2010,26314,NULL,30865,NULL,NULL
2179919,2010,28972,30821,NULL,NULL,NULL
021799A2  ,2010,28053,NULL,31922,31857,NULL
2179905,2010,28223,31807,33682,17932,NULL
2179932,2010,23954,NULL,NULL,NULL,31322
2179928,2010,26634,31501,30184,NULL,NULL
2179914,2010,27151,NULL,NULL,NULL,NULL
2179916,2010,29887,32476,32476,32476,NULL
2179907,2010,28804,NULL,32622,NULL,NULL
2179907,2010,25014,27035,29088,30467,29447
2179935,2010,27689,29691,NULL,NULL,NULL
2179929,2010,25894,NULL,NULL,NULL,34322
2179908,2010,26524,25208,NULL,11016,NULL
2179918,2010,30643,NULL,NULL,NULL,NULL
2179921,2010,27981,27909,NULL,31922,NULL
2179913,2010,28972,NULL,NULL,NULL,NULL
2179909,2010,27992,26234,31322,NULL,NULL
3125400,2010,31134,32266,34152,36102,36102
1647100,2010,25147,26232,29110,30786,31048
723600,2010,24359,25916,29555,32147,33018
723603,2010,21112,23435,24426,29096,30330
007236A3  ,2010,18826,19368,21848,23944,27304
2327600,2010,18073,17947,22420,26856,27823
723602,2010,23548,24269,27516,31960,31124
3125401,2010,24609,23345,30171,27040,31595
2179901,2010,19672,20933,22084,24204,23619
2179903,2010,23359,22523,24555,21422,NULL
972300,2010,14601,15357,15837,NULL,NULL
886400,2010,18000,22212,22308,NULL,22308
1180200,2010,19708,15132,16783,NULL,NULL
1084700,2010,34905,34970,35503,40495,NULL
001083A1  ,2010,NULL,NULL,NULL,NULL,NULL
711300,2010,12350,14075,19162,17170,18970
NULL,2010,NULL,NULL,NULL,NULL,NULL
3115000,2010,19104,20631,21188,21378,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
4120900,2010,32675,34678,37177,37367,37734
3695500,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
108100,2010,4529,5705,9596,13665,14710
NULL,2010,NULL,NULL,NULL,NULL,NULL
4131400,2010,NULL,NULL,NULL,NULL,NULL
107100,2010,7750,8505,10223,NULL,NULL
108700,2010,15373,16664,17892,NULL,NULL
3997300,2010,7848,14760,14760,NULL,14760
3005100,2010,11341,NULL,NULL,NULL,NULL
3023400,2010,23100,23460,NULL,NULL,NULL
1286000,2010,11410,11531,12042,10517,11916
2348200,2010,7290,4283,8031,NULL,NULL
109100,2010,3529,4638,6845,8896,9555
109000,2010,9783,10563,13488,14924,15012
109003,2010,12108,13920,11846,12294,13845
109002,2010,4997,5434,7162,6590,8574
001090A1  ,2010,NULL,NULL,NULL,NULL,NULL
108900,2010,6582,6553,8897,10563,11932
2081400,2010,16622,15849,17752,NULL,NULL
2521200,2010,20244,20808,22248,NULL,NULL
3159300,2010,18099,18099,19926,NULL,NULL
154600,2010,10437,11444,14104,16192,16114
2257400,2010,23256,23556,24192,NULL,NULL
643500,2010,33120,45324,18108,42912,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
301100,2010,11576,15408,17248,19349,18317
111600,2010,31398,36441,32522,39815,47010
2363500,2010,16968,17796,18156,NULL,NULL
2538500,2010,16260,17208,NULL,NULL,NULL
2538502,2010,16440,17196,NULL,NULL,NULL
2525900,2010,15996,NULL,17532,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3816300,2010,16596,20532,20640,NULL,NULL
3095500,2010,18725,20168,24176,25191,24607
195300,2010,NULL,NULL,NULL,NULL,NULL
195200,2010,17095,17640,21782,23875,27107
4057300,2010,17388,19674,20259,NULL,NULL
403300,2010,7715,8002,10657,NULL,NULL
188100,2010,20136,20462,20742,20902,20263
199000,2010,3976,4549,8675,9488,9151
3117000,2010,12810,14060,14990,NULL,NULL
301200,2010,17501,17418,19345,22617,24242
2187900,2010,17724,19176,20544,21000,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2595600,2010,688,NULL,NULL,NULL,NULL
3012300,2010,10008,NULL,NULL,NULL,NULL
1115000,2010,5206,NULL,NULL,6596,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
4080300,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,17350,20670,NULL,NULL,NULL
1212000,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2506000,2010,11362,11179,10884,NULL,NULL
902200,2010,15448,15984,16016,NULL,NULL
2553500,2010,16597,16681,17059,NULL,NULL
211800,2010,30359,31235,35503,36418,39123
4152700,2010,5400,NULL,NULL,NULL,NULL
3906300,2010,20244,22332,NULL,NULL,NULL
4038300,2010,24181,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3544300,2010,5223,5235,9588,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
100800,2010,NULL,NULL,NULL,NULL,NULL
560000,2010,4812,5530,7619,NULL,NULL
3740400,2010,29918,32970,NULL,NULL,NULL
NULL,2010,12984,14268,15636,NULL,NULL
3104500,2010,35292,36156,36708,NULL,NULL
1216500,2010,7083,8024,11791,12247,12545
2580200,2010,30680,31216,31160,NULL,NULL
854300,2010,4375,5215,6907,NULL,NULL
3173300,2010,NULL,NULL,NULL,NULL,NULL
2234600,2010,29640,NULL,NULL,NULL,NULL
259600,2010,10478,10078,11099,11309,NULL
3429600,2010,NULL,NULL,NULL,NULL,NULL
1226300,2010,10404,11712,13320,NULL,NULL
2505400,2010,4608,5787,7135,9135,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3468500,2010,28588,28751,28603,28782,30221
3051400,2010,9612,NULL,NULL,NULL,NULL
100900,2010,8149,12102,14376,16452,17166
831000,2010,8752,10186,10690,11759,11129
233400,2010,17439,27928,30737,30645,31312
4021300,2010,6486,NULL,NULL,NULL,NULL
559900,2010,3111,4392,5834,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
163300,2010,18124,18437,21453,24118,27262
345800,2010,13147,13874,16654,19581,20029
3727600,2010,41625,NULL,NULL,NULL,NULL
3776300,2010,33210,32676,34374,34374,34374
648700,2010,15678,16030,21383,21383,NULL
163400,2010,10403,12021,13705,18773,19500
354300,2010,12469,12630,16805,19921,23465
1201500,2010,5920,7005,10177,11621,11794
2362800,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
347800,2010,8027,9669,12873,13595,13867
354400,2010,NULL,NULL,NULL,NULL,NULL
737200,2010,13668,14016,15576,16296,16584
2297702,2010,5731,6539,9189,NULL,NULL
2297700,2010,5724,6021,9269,NULL,NULL
2297701,2010,5266,5883,6625,NULL,NULL
3075500,2010,5453,5944,7902,NULL,NULL
1162100,2010,41382,44783,47557,47557,47557
1162101,2010,34637,35321,44688,47291,47291
834300,2010,13380,10920,16344,NULL,NULL
NULL,2010,21030,22830,NULL,NULL,NULL
2258600,2010,33840,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
1085800,2010,26652,26964,29568,30876,30648
NULL,2010,NULL,NULL,NULL,NULL,NULL
2519800,2010,21520,22896,24912,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3691400,2010,NULL,NULL,NULL,NULL,NULL
3941300,2010,13784,15881,19321,19789,20607
3837300,2010,26862,NULL,NULL,NULL,NULL
NULL,2010,28809,NULL,NULL,31163,31163
NULL,2010,NULL,NULL,NULL,NULL,NULL
2258400,2010,15480,17052,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
4140700,2010,28842,29073,30173,31867,31867
4141000,2010,25692,27876,28128,28500,28500
4137800,2010,28864,30140,31867,32010,32010
2600900,2010,17928,17088,NULL,NULL,NULL
NULL,2010,35550,37425,37680,37905,38160
NULL,2010,NULL,NULL,NULL,NULL,NULL
2117800,2010,17256,19176,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2123200,2010,21790,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3839300,2010,22792,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
4072300,2010,7769,11883,13532,15640,16626
4142300,2010,NULL,NULL,NULL,NULL,NULL
4119400,2010,15696,17688,13164,NULL,NULL
4134800,2010,14340,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
987300,2010,13762,NULL,NULL,NULL,NULL
NULL,2010,23254,22627,20768,26378,NULL
492900,2010,NULL,NULL,NULL,NULL,NULL
598700,2010,NULL,NULL,NULL,NULL,NULL
370200,2010,10847,15264,18114,20107,19835
003702A1  ,2010,15014,13805,17055,17555,17555
4038400,2010,31176,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3523300,2010,21519,21519,21519,NULL,NULL
3126300,2010,21693,21693,21693,NULL,NULL
3573300,2010,21615,21615,21615,NULL,NULL
2596412,2010,NULL,NULL,NULL,NULL,NULL
3176300,2010,21656,21656,NULL,NULL,NULL
3616300,2010,21438,23140,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
3883400,2010,20399,20854,NULL,NULL,NULL
NULL,2010,21511,21511,NULL,NULL,NULL
3110700,2010,20894,20894,20894,20894,NULL
3986300,2010,48036,NULL,49374,49374,NULL
244900,2010,16543,11900,14929,17913,16976
3160300,2010,5296,NULL,NULL,NULL,NULL
826300,2010,20616,20700,20616,20616,19764
462100,2010,22509,23751,24480,NULL,NULL
111700,2010,27147,28169,29561,28783,26804
NULL,2010,NULL,NULL,NULL,NULL,NULL
1235900,2010,-2676,3168,NULL,NULL,NULL
212100,2010,18741,19761,24238,30272,41769
314700,2010,12280,14178,15039,16058,17203
1107400,2010,-181,224,3549,4625,5700
NULL,2010,NULL,NULL,NULL,NULL,NULL
2622900,2010,NULL,NULL,NULL,NULL,NULL
4081300,2010,850,6622,4367,7575,NULL
467300,2010,12020,12465,13914,15524,15844
467313,2010,14329,13509,21103,19828,21103
467317,2010,11621,12619,14162,15359,15985
467305,2010,12039,12551,14093,15793,16470
467301,2010,13184,13717,16281,17998,17850
467302,2010,11188,11598,13130,14858,16194
467309,2010,12402,13795,14252,17038,17045
467303,2010,12064,12760,15126,16709,17081
467304,2010,11250,11939,14214,16055,16881
467306,2010,11518,12160,13933,16295,17240
190300,2010,18702,19807,21687,21750,22311
111800,2010,2545,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
1226801,2010,14760,15900,18072,NULL,NULL
1226800,2010,15156,15564,18108,NULL,NULL
3067400,2010,NULL,NULL,NULL,NULL,NULL
301400,2010,14165,16567,19498,21787,23274
178600,2010,7411,9514,15243,17989,18423
206100,2010,5406,6076,7513,7890,4640
3296300,2010,16534,16912,17171,17192,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
2494700,2010,21350,NULL,NULL,NULL,NULL
2337400,2010,24635,25467,28353,28353,28353
266900,2010,NULL,NULL,NULL,NULL,NULL
1320800,2010,10115,12021,13985,13976,16047
3105200,2010,14643,17138,18831,19279,19092
660600,2010,12959,14122,14350,15197,NULL
3440300,2010,9565,11526,17687,17824,17079
2331200,2010,2035,NULL,NULL,NULL,NULL
3116900,2010,NULL,NULL,NULL,NULL,NULL
3733300,2010,9962,NULL,NULL,NULL,NULL
3010700,2010,13572,13812,14808,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
191700,2010,19446,NULL,NULL,NULL,NULL
267100,2010,14377,20725,27851,28381,36877
964500,2010,26239,27256,27797,31742,33160
270800,2010,11521,15246,18154,28992,42730
638900,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,25038,26226,26190,NULL,27198
2518900,2010,17360,NULL,NULL,NULL,NULL
146600,2010,13178,NULL,7470,NULL,NULL
111900,2010,8760,NULL,NULL,NULL,NULL
290800,2010,19092,19233,21517,25248,25753
460800,2010,6545,6576,8893,9940,9966
2242500,2010,NULL,NULL,NULL,NULL,NULL
203600,2010,5485,9373,12283,24130,36849
530600,2010,6471,7939,11051,12197,12197
3730300,2010,7644,8016,8655,8635,8059
2335701,2010,17890,20409,20409,20409,20409
2335702,2010,3070,7905,NULL,8230,8230
2197500,2010,NULL,NULL,NULL,NULL,NULL
1157400,2010,27521,28148,30500,31560,31691
NULL,2010,NULL,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL,NULL
224000,2010,3500,4772,7524,8524,9277
3066600,2010,3811,5221,5785,2571,NULL
