OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
NULL,2009,NULL,NULL,NULL,NULL
247700,2009,NULL,NULL,NULL,NULL
2517500,2009,0,0,0,NULL
3064900,2009,73,99,203135,2783
NULL,2009,NULL,NULL,NULL,NULL
3065100,2009,52,64,319909,6152
NULL,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
3783400,2009,73,45,487243,6675
353700,2009,2422,62,25685555,10605
154100,2009,1395,39,6509222,4666
3122500,2009,0,0,0,NULL
2050300,2009,138,84,1141790,8274
4104300,2009,58,64,381500,6578
NULL,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
4133500,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
3346300,2009,659,100,2797743,4245
NULL,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
753100,2009,5120,53,38478981,7515
4126900,2009,101,56,384400,3806
1290500,2009,0,0,0,NULL
3288300,2009,NULL,NULL,NULL,NULL
2499000,2009,155,73,593449,3829
4118600,2009,48,65,278546,5803
2621300,2009,21,34,115222,5487
NULL,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
NULL,2009,8,57,21502,2688
3277300,2009,9,9,2950,328
2244300,2009,12,23,41808,3484
2244303,2009,20,10,62534,3127
032763A1  ,2009,4,6,4200,1050
1323200,2009,155,71,974323,6286
3276300,2009,12,8,5250,438
NULL,2009,22,37,33980,1545
2235900,2009,23,22,80132,3484
1050700,2009,69,74,324329,4700
4037500,2009,135,71,789385,5847
2552400,2009,116,45,521753,4498
NULL,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
4130700,2009,38,61,174560,4594
4093300,2009,41,91,196687,4797
3113400,2009,106,55,625550,5901
NULL,2009,NULL,NULL,NULL,NULL
1074100,2009,115,69,729368,6342
NULL,2009,NULL,NULL,NULL,NULL
3353300,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL
4043300,2009,8,22,18826,2353
NULL,2009,NULL,NULL,NULL,NULL
3327400,2009,NULL,NULL,NULL,NULL
134500,2009,1328,60,7980102,6009
266600,2009,3322,65,24960038,7514
3103700,2009,25,71,71710,2868
286000,2009,868,25,4354474,5017
3051900,2009,NULL,NULL,NULL,NULL
2068100,2009,NULL,NULL,NULL,NULL
223400,2009,1072,73,5951222,5552
2520400,2009,164,82,749346,4569
812900,2009,165,79,875000,5303
2312000,2009,28,20,142185,5078
3736300,2009,0,0,0,NULL
NULL,2009,NULL,NULL,NULL,NULL
3757300,2009,182,98,1729000,9500
